cidade;cep_ini;cep_fim;bairro;tabela_motorista
Salvador;41515000;41515388;Bairro da Paz;Tab_1
Salvador;41600010;41601310;Stella Maris;Tab_1
Salvador;41602000;41602970;Aeroporto;Tab_2
Salvador;41603020;41603580;Praia do Flamengo;Tab_2
Salvador;41610000;41640670;Itapuã;Tab_3
Salvador;41611010;41611761;Nova Brasília de Itapuã;Tab_3
Salvador;41612010;41612445;Jardim Placaford;Tab_3
Salvador;41613010;41613971;Jaguaribe;Tab_2
Salvador;41615000;41615900;Alto do Coqueirinho;Tab_2
Salvador;41650000;41651970;Piatã;Tab_3
Salvador;41680000;41681085;Patamares;Tab_3
Salvador;41701005;41701970;Alphaville I;Tab_3
Salvador;41705000;41710890;Boca do Rio;Tab_1
Salvador;41720000;41720970;Imbuí;Tab_1
Salvador;41730100;41730903;Paralela;Tab_1
Salvador;41740000;41741590;Pituaçu;Tab_1
Salvador;41745001;41745972;Centro Administrativo da Bahia;Tab_1
Salvador;41745018;41745971;Trobogy;Tab_1
Salvador;41750000;41750890;Jardim Armação;Tab_1
Salvador;41750005;41750971;Armação;Tab_1
Salvador;41760000;41760210;Costa Azul;Tab_1
Salvador;41760900;41770890;Stiep;Tab_1
Salvador;41771000;41771100;Aquarius;Tab_1
Salvador;41800700;41830972;Pituba;Tab_1
Salvador;41815000;41825907;Itaigara;Tab_1
Salvador;41820000;41823959;Caminho das Árvores;Tab_2
Salvador;41899520;41900973;Amaralina;Tab_2
Salvador;41905000;41906560;Nordeste de Amaralina;Tab_3
Salvador;41905085;41906170;Nordeste;Tab_3
Salvador;41915010;41927890;Santa Cruz;Tab_3
Salvador;41928000;41928204;Chapada do Rio Vermelho;Tab_2
Salvador;41930000;41930128;Vale das Pedrinhas;Tab_2
Salvador;41940000;41950970;Rio Vermelho;Tab_3
Salvador;42500004;42500092;Santana (Ilha de Maré);Tab_3
Salvador;42500200;42500230;Itamoabo (Ilha de Maré);Tab_3
Salvador;42500260;42500290;Neves (Ilha de Maré);Tab_1
Salvador;42500320;42500360;Engenho de Maré (Ilha de Maré);Tab_1
Salvador;42500400;42500400;Botelho (Ilha de Maré);Tab_1
Salvador;42500450;42500450;Oratório (Ilha de Maré);Tab_1
Salvador;42500500;42500520;Bananeiras (Ilha de Maré);Tab_1
Salvador;42500530;42500530;Armenda (Ilha de Maré);Tab_1
Salvador;42500540;42500550;Maracanã (Ilha de Maré);Tab_1
Salvador;42500570;42500570;Martelo (Ilha de Maré);Tab_1
Salvador;42500600;42500620;Mata Atlântica (Ilha de Maré);Tab_1
Salvador;42500700;42500760;Praia Grande (Ilha de Maré);Tab_1
Salvador;42505010;42505080;Paramana (Ilha dos Frades);Tab_1
Salvador;42505300;42505310;Costa de Fora (Ilha dos Frades);Tab_1
Salvador;42505500;42505520;Ponta de Nossa Senhora (Ilha dos Frades);Tab_1
Salvador;42510005;42510020;Comendador Neiva (Ilha de Bom Jesus dos Passos);Tab_2
Salvador;42510030;42510060;Alto do Cruzeiro (Ilha de Bom Jesus dos Passos);Tab_2
Salvador;42510080;42510125;Largo do Tanque (Ilha de Bom Jesus dos Passos);Tab_3
Salvador;42510140;42510170;Fonte Nova (Ilha de Bom Jesus dos Passos);Tab_3
Salvador;42510200;42510260;Nova Brasília (Ilha de Bom Jesus dos Passos);Tab_3
Salvador;42510280;42510280;Pontinha (Ilha de Bom Jesus dos Passos);Tab_2
